Algorithm,Time (s),Residual Norm,Iterations,Initial Residual,Final Residual,Convergence Rate,Convergence Type,Norm Type,Omega
gauss_seidel (fixed ω=1.100),27.562,0.004028,62,9.197733e-01,9.324617e-09,98639253.71x,Iterative,L1,1.100
direct_lu,183.847,N/A,0,N/A,N/A,N/A,Direct,N/A,N/A
power,1.174,0.004028,80,8.551050e-01,9.649564e-09,88615917.85x,Iterative,L1,N/A
