Algorithm,Rank,Node,Score,NetworkX Score,Difference
power,1,32163,0.002552,0.002555,0.000003
power,2,605856,0.002460,0.002463,0.000002
power,3,425770,0.002365,0.002363,0.000002
power,4,537039,0.002226,0.002223,0.000003
power,5,597621,0.001958,0.001959,0.000001
power,6,486980,0.001744,0.001752,0.000007
power,7,438493,0.001498,0.001494,0.000004
power,8,459074,0.001486,0.001486,0.000000
power,9,185821,0.001452,0.001451,0.000001
power,10,74397,0.001342,0.001343,0.000002
direct_lu,1,32163,0.002552,0.002555,0.000003
direct_lu,2,605856,0.002460,0.002463,0.000002
direct_lu,3,425770,0.002365,0.002363,0.000002
direct_lu,4,537039,0.002226,0.002223,0.000003
direct_lu,5,597621,0.001958,0.001959,0.000001
direct_lu,6,486980,0.001744,0.001752,0.000007
direct_lu,7,438493,0.001498,0.001494,0.000004
direct_lu,8,459074,0.001486,0.001486,0.000000
direct_lu,9,185821,0.001452,0.001451,0.000001
direct_lu,10,74397,0.001342,0.001343,0.000002
