Algorithm,Time (s),Residual Norm,Iterations,Initial Residual,Final Residual,Convergence Rate,Convergence Type,Norm Type
power,1.234,0.004028,80,8.551050e-01,9.649564e-09,88615917.85x,Iterative,L1
direct_lu,175.727,N/A,0,N/A,N/A,N/A,Direct,N/A
